Y,X1,X2,X3
5387400,82,225,292
11782584,114,261,396
49137325,155,355,893
63317280,417,949,160
166019520,920,309,584
10103940,165,729,84
1485792,938,9,176
422923700,601,908,775
371921891,593,737,851
78263199,609,131,981
6019650,585,210,49
10176215,155,791,83
362641740,685,942,562
110297000,925,440,271
70570876,311,284,799
130551912,201,776,837
14989312,416,64,563
625615,593,5,211
18394624,512,971,37
23450560,145,608,266
29626560,508,60,972
102428544,556,404,456
161066880,478,480,702
26516103,393,109,619
127942128,447,402,712
107900156,799,742,182
51178400,112,650,703
28714035,777,95,389
272702780,596,769,595
37050546,122,599,507
139118000,523,875,304
10016523,583,83,207
139932000,828,845,200
93621360,392,838,285
270840,24,185,61
25783650,807,150,213
131159760,488,930,289
3541625,125,29,977
3689728,232,224,71
66375750,375,658,269
130261824,378,484,712
7580040,339,260,86
28862328,649,327,136
268109919,483,623,891
17680238,34,529,983
36798820,95,541,716
735494575,755,989,985
22165188,237,206,454
171839312,568,457,662
648086265,915,709,999
35311500,532,177,375
21386112,176,366,332
107597360,337,520,614
469845558,718,819,799
195264616,509,632,607
5768520,907,636,10
18768204,63,674,442
332961852,761,606,722
1161576,663,24,73
91621800,152,675,893
88690360,170,781,668
31073812,866,77,466
254852928,464,876,627
145388620,793,412,445
32221284,786,199,206
86225040,382,418,540
256650772,511,614,818
20248800,550,472,78
357084,91,18,218
276655633,947,389,751
203290560,440,621,744
152310378,957,527,302
65538900,315,515,404
75556320,995,678,112
36368640,656,80,693
10981983,349,617,51
305040,984,10,31
191594880,870,296,744
118683312,674,696,253
109349360,887,460,268
8698625,101,125,689
25948692,74,759,462
187896870,822,245,933
41247360,880,378,124
21223296,48,712,621
55468920,520,111,961
64998000,120,942,575
28585194,146,349,561
12751416,348,186,197
13133736,77,414,412
56500444,412,143,959
43579008,96,724,627
22519120,295,367,208
249815104,622,616,652
8544380,26,590,557
245289240,981,266,940
212143360,488,988,440
39058215,127,435,707
48877760,916,920,58
131404672,784,328,511
31954230,530,319,189
38845595,335,323,359
828000,150,460,12
168166944,487,654,528
83053083,131,907,699
2152377,19,307,369
78554480,764,265,388
438396,238,921,2
12937320,162,726,110
5786640,60,108,893
120002544,892,606,222
6498752,8,856,949
72309006,957,147,514
83646720,548,960,159
284059992,604,618,761
31765500,675,724,65
1704780,108,385,41
424772880,510,973,856
112005888,564,856,232
159671232,597,796,336
154772860,418,610,607
472812,1,961,492
709587,641,27,41
100979412,956,257,411
54055566,426,613,207
39917190,415,697,138
107114400,380,405,696
226733760,396,680,842
74974165,383,595,329
33140030,385,386,223
18438200,220,986,85
39517554,74,849,629
85691968,904,328,289
5387640,170,834,38
55386302,821,178,379
213502240,608,395,889
33364650,803,277,150
117677610,237,810,613
46483470,165,423,666
29597028,564,97,541
15092280,636,42,565
251995000,500,505,998
740838933,983,927,813
324061218,507,921,694
28225794,641,82,537
107847168,572,982,192
72664152,946,692,111
120202940,212,671,845
357631048,851,802,524
3598320,22,696,235
314978720,680,932,497
670516992,969,816,848
176425128,934,324,583
100821900,746,795,170
172225200,420,505,812
9059589,769,21,561
9484160,280,292,116
77125120,470,641,256
83184192,897,138,672
95899860,420,249,917
141694000,812,349,500
12942100,331,850,46
23421111,43,777,701
26800214,89,959,314
55945428,231,764,317
6920328,366,29,652
292340160,544,630,853
26778330,295,369,246
151622352,862,698,252
86632128,363,904,264
103760176,299,368,943
105383565,801,895,147
27742232,782,98,362
149300515,587,455,559
18103344,179,784,129
122578176,672,604,302
7018110,139,51,990
74182254,578,717,179
20225784,102,356,557
46689488,412,164,691
68200704,576,299,396
238488810,987,365,662
126330750,390,617,525
2365308,724,27,121
18703278,407,46,999
46338600,177,340,770
1132704,552,9,228
47090550,325,186,779
37691628,249,164,923
111770592,778,656,219
158262408,498,746,426
36176700,210,230,749
227542258,577,733,538
9241400,82,575,196
16105392,86,289,648
182523328,862,416,509
192102504,797,968,249
2554524,42,93,654
529910450,890,965,617
188163800,775,682,356
176321064,866,722,282
33933144,53,721,888
3211527,33,307,317
92516130,885,131,798
168770232,941,212,846
3208530,247,433,30
15460650,645,34,705
149605794,793,669,282
15718200,391,300,134
10370360,11,962,980
28821744,144,353,567
67298364,942,243,294
24418800,266,918,100
150269442,257,669,874
209461896,261,843,952
2371160,317,935,8
11271600,93,303,400
118024500,250,506,933
97085300,382,425,598
813841,833,1,977
22467780,324,603,115
467573337,931,801,627
19322880,629,64,480
153153,819,187,1
204467010,330,869,713
35302530,191,303,610
8173620,260,63,499
319235840,632,820,616
19860000,331,480,125
64915020,405,222,722
16541240,118,215,652
167279112,924,633,286
245674000,1000,859,286
351577548,588,723,827
32691666,57,994,577
288195232,976,533,554
83149700,428,409,475
184928832,552,396,846
16435616,137,184,652
40560732,823,148,333
570911000,1000,731,781
86584784,451,338,568
718360398,798,969,929
36332100,730,90,553
11965008,258,748,62
66708443,389,223,769
97512525,621,275,571
108479168,292,434,856
171911936,301,776,736
28750950,75,458,837
18754560,740,192,132
448238700,650,819,842
124512080,935,574,232
73174992,293,264,946
645356646,803,902,891
14819805,245,143,423
39496998,618,79,809
8292492,58,611,234
777030,3,590,439
166150746,706,711,331
26621105,635,53,791
58239720,770,132,573
4054752,741,57,96
297814968,418,733,972
4789512,714,78,86
130062240,952,198,690
38988684,42,958,969
88076016,644,522,262
38904096,114,554,616
295090824,399,772,958
61591420,310,821,242
23749100,94,815,310
9709440,778,120,104
1624161,267,7,869
85024310,833,865,118
47534616,822,366,158
14426100,156,225,411
15439536,289,159,336
191846564,731,412,637
53508276,691,108,717
4256784,16,369,721
206903466,861,242,993
36292560,111,670,488
621984070,655,982,967
27885676,338,142,581
75243168,594,312,406
260723008,712,728,503
232965108,428,591,921
89473010,583,745,206
450431488,496,962,944
128387810,410,643,487
32339091,201,641,251
379440,51,155,48
241802784,953,288,881
202082370,490,989,417
64675760,412,470,334
47938366,469,343,298
144338040,508,410,693
346627008,778,504,884
82174022,119,911,758
17456560,913,239,80
24435000,50,540,905
141337170,402,601,585
8014128,839,12,796
87441365,389,737,305
299400200,485,671,920
26420800,337,980,80
117739072,316,464,803
1764600,85,692,30
23842000,524,250,182
344133318,933,622,593
200812690,503,481,830
54239367,507,217,493
29490175,275,949,113
33025608,759,296,147
11448040,284,145,278
91143936,936,136,716
79376228,778,734,139
21757617,927,49,479
42551747,217,763,257
345551724,782,882,501
29545330,746,89,445
36948692,458,193,418
12414204,69,188,957
5187564,593,972,9
3358944,321,16,654
128467944,807,792,201
229367040,371,840,736
150503440,653,670,344
146715408,609,956,252
68659328,908,278,272
4516215,33,505,271
11274120,73,270,572
10208835,117,315,277
15716948,958,26,631
303804704,712,622,686
4757280,170,88,318
596183940,990,883,682
42568064,224,617,308
70150850,685,665,154
492916224,688,816,878
4721200,44,148,725
16428650,365,643,70
12632750,325,115,338
854076,691,309,4
28569152,877,64,509
265515690,969,470,583
88143360,384,230,998
428601195,961,901,495
3792768,83,544,84
22312836,91,417,588
129423420,404,565,567
172439230,278,655,947
137121556,703,341,572
31206144,908,64,537
70157640,867,476,170
422142,69,133,46
30559536,244,126,994
77099000,275,860,326
701773056,969,768,943
196431690,390,541,931
30261088,136,286,778
145144377,497,333,877
372297330,747,555,898
109361590,338,397,815
24329088,862,96,294
79285032,263,474,636
26959560,610,381,116
269790,345,17,46
3826836,39,629,156
272021828,782,442,787
182963696,584,818,383
133542360,985,504,269
18320679,221,183,453
979004,562,2,871
24070228,623,743,52
183346140,426,965,446
53079280,835,137,464
424391490,843,582,865
3106250,710,25,175
89353620,460,339,573
83463182,281,506,587
45219600,948,180,265
191764936,652,638,461
33381075,335,219,455
705591000,1000,837,843
8305755,965,19,453
6312852,182,141,246
330114460,845,404,967
11166584,13,946,908
499265508,938,874,609
1033983,877,131,9
334951023,737,591,769
300370200,975,794,388
65727192,529,248,501
20875008,112,706,264
7800408,252,469,66
63717450,285,566,395
417276000,600,804,865
54113388,111,644,757
34390057,689,71,703
23975280,603,56,710
54391680,399,213,640
12526290,531,337,70
325376355,895,677,537
91282569,651,281,499
72130533,853,397,213
124408570,605,719,286
403575840,846,670,712
35613270,571,990,63
158525136,319,812,612
44275572,451,243,404
2027394,691,978,3
14044540,470,134,223
1602040,331,110,44
161179148,689,502,466
121696278,473,411,626
2526354,57,89,498
18042336,234,122,632
68239850,686,865,115
12862791,107,171,703
32582160,390,236,354
51736406,137,986,383
170976099,421,699,581
35466026,227,191,818
26873704,286,338,278
84567197,473,221,809
90246608,289,673,464
897526476,913,987,996
404606280,845,568,843
47104200,990,122,390
16012292,619,446,58
45938016,888,958,54
69228576,887,271,288
83036772,442,441,426
100833564,942,598,179
25149352,764,109,302
19004500,995,764,25
114666615,805,399,357
269079168,584,662,696
48906666,977,162,309
144283920,473,820,372
44858886,323,474,293
156770600,340,490,941
205145280,912,276,815
6905349,373,33,561
46648800,88,950,558
92226170,769,179,670
62889855,695,973,93
13468158,502,99,271
46111008,536,107,804
276429270,745,402,923
161135700,759,220,965
68573280,309,760,292
5591997,51,837,131
615500640,816,986,765
181221088,788,712,323
274094368,628,712,613
320095620,530,801,754
221568,577,2,192
585156,44,429,31
43754400,180,472,515
40764416,188,704,308
176352000,640,334,825
88012320,948,211,440
31160360,302,268,385
3193020,73,270,162
42928396,698,322,191
414880704,504,999,824
303000048,936,662,489
5749699,79,997,73
107110080,345,924,336
74953248,822,656,139
213909358,962,971,229
2486785,35,313,227
59358508,722,407,202
294142492,644,497,919
851170248,894,998,954
20392908,123,458,362
42380346,214,263,753
258265304,557,958,484
9914940,140,387,183
84094984,277,554,548
198749616,862,739,312
627085174,961,757,862
295705480,629,644,730
36117879,691,399,131
50213250,750,173,387
228192363,997,441,519
9468225,249,169,225
24993747,67,543,687
282480,107,6,440
28610694,63,646,703
5139670,185,958,29
2899380,191,66,230
38441832,487,138,572
4716560,107,152,290
3471260,79,338,130
32568380,916,65,547
6847600,53,323,400
296280000,600,600,823
70323968,704,442,226
156380560,278,980,574
52139204,698,338,221
780680906,983,958,829
4206987,97,237,183
18663120,84,460,483
7193824,428,22,764
693423168,848,821,996
8976768,482,192,97
3557449,919,49,79
21524448,484,872,51
67586040,246,570,482
492040650,705,983,710
252978102,481,549,958
52538112,691,198,384
324428785,431,755,997
94009644,668,823,171
444736188,897,523,948
41026800,179,382,600
23299920,603,966,40
264011352,687,484,794
17974304,68,893,296
561007920,876,902,710
45996318,326,549,257
505514240,892,704,805
5743640,511,562,20
18069912,171,476,222
583248512,952,649,944
60794500,100,995,611
199160052,406,993,494
63651536,208,799,383
254935868,451,886,638
13303264,26,904,566
14177520,485,58,504
136643430,447,385,794
25913724,268,167,579
496554420,829,670,894
342606,957,179,2
409918394,961,542,787
94176540,402,685,342
40670740,892,829,55
262856880,360,851,858
628352985,845,897,829
7943012,407,287,68
15781920,44,488,735
55527304,73,799,952
132764951,817,869,187
20755500,548,125,303
229521600,828,308,900
63588096,192,572,579
442512968,683,872,743
266130920,799,440,757
138646053,819,773,219
234493098,399,643,914
133309846,599,223,998
82134080,991,259,320
2308840,197,293,40
36092232,687,199,264
9222855,181,645,79
60273472,146,776,532
169378764,983,519,332
20984690,269,290,269
330950016,774,544,786
1362491,337,13,311
23328704,301,112,692
19975410,30,813,819
231857076,958,386,627
112519680,644,273,640
941280,740,12,106
30196446,271,294,379
667440,144,9,515
83078541,221,663,567
14714205,33,737,605
178568544,609,952,308
77394144,302,304,843
15088605,595,107,237
41355264,212,512,381
4976580,204,697,35
46337784,829,136,411
155464969,869,199,899
387865744,521,782,952
72791400,269,492,550
594651050,977,658,925
569432812,842,703,962
26665074,86,733,423
93195648,784,381,312
47315628,786,381,158
42523110,298,945,151
16470204,541,86,354
5134336,736,8,872
41252837,139,463,641
47737197,61,977,801
375736096,874,554,776
254436633,957,387,687
222630364,764,649,449
310068600,461,950,708
10219176,153,506,132
4161850,55,230,329
35691024,229,272,573
78159339,457,279,613
228367783,893,307,833
22162260,745,37,804
403764075,611,825,801
52647000,218,644,375
19492480,304,140,458
168432492,354,659,722
296261799,881,591,569
393100800,600,928,706
12512808,444,61,462
16414269,241,73,933
88016740,116,931,815
65311200,235,386,720
66699228,186,901,398
166588240,728,467,490
324143952,869,409,912
126572412,492,409,629
69745536,744,112,837
6171438,381,178,91
759647371,973,857,911
35200480,106,593,560
38666976,152,258,986
65792160,856,305,252
84640,23,46,80
504375894,846,653,913
192458904,888,323,671
43950000,600,125,586
113800992,677,816,206
27097200,156,579,300
227162628,509,924,483
27989390,370,143,529
189068880,364,787,660
15363918,939,81,202
74443320,458,430,378
38390625,351,175,625
40673785,965,113,373
34257244,476,79,911
359064160,676,980,542
146214912,652,768,292
294842880,764,402,960
78690812,229,542,634
184314780,730,498,507
169990000,445,764,500
16635888,794,388,54
440472760,586,767,980
67352330,197,382,895
195618358,746,877,299
221853280,466,880,541
49890036,161,476,651
285288640,707,776,520
361324964,403,902,994
17662762,221,89,898
139945260,665,852,247
80274576,327,536,458
292837500,950,822,375
34338472,76,826,547
38489472,333,448,258
42348768,154,337,816
25005150,543,150,307
43347717,267,189,859
97375446,261,846,441
84327936,368,264,868
21581160,447,680,71
2235872,653,8,428
177768240,753,520,454
170140,1,905,188
106745520,490,696,313
715464700,916,995,785
181367424,864,882,238
6113400,69,886,100
41370027,191,411,527
162887868,477,858,398
74334336,236,544,579
5818080,465,736,17
82655040,537,370,416
53419355,187,485,589
26943488,52,704,736
281388525,921,605,505
168421680,810,658,316
107128656,631,432,393
35118846,62,729,777
113607384,781,627,232
163495120,680,503,478
31612152,488,429,151
159093261,423,443,849
73437280,812,238,380
62299776,528,172,686
12365990,214,65,889
10306296,792,169,77
300270204,774,694,559
1290240,224,64,90
20500176,599,368,93
103103000,325,515,616
118988100,187,707,900
586467,749,783,1
345769368,724,822,581
16455670,355,154,301
1072812,169,23,276
131955840,384,739,465
117627636,502,797,294
5385702,794,51,133
403483032,986,972,421
40360320,104,441,880
92869308,147,981,644
98501472,456,564,383
13565736,89,292,522
234123120,309,984,770
113633004,698,631,258
35722134,357,306,327
541156398,739,961,762
51088060,391,940,139
399377160,504,949,835
12831840,938,190,72
2809443,533,7,753
236398344,392,987,611
76095730,230,887,373
87977448,291,741,408
79067520,144,742,740
95446278,283,457,738
273490560,665,756,544
132165000,250,979,540
121188210,451,318,845
10809792,383,112,252
225525360,592,545,699
77634648,476,221,738
28039572,164,471,363
504076234,706,851,839
48798780,732,335,199
272250408,998,762,358
66400,830,80,1
932740,626,298,5
101628540,702,155,934
16800760,170,124,797
149468692,619,901,268
248804544,912,283,964
10251450,275,57,654
19654880,161,224,545
172761600,818,600,352
24881538,253,443,222
119438046,553,639,338
326393782,506,841,767
200911536,812,783,316
3502268,332,959,11
31958145,135,907,261
7779512,76,127,806
164318232,689,456,523
68196940,763,205,436
3861468,78,111,446
143909440,712,248,815
115696350,945,530,231
77453415,585,141,939
34754664,849,238,172
384474825,525,903,811
65809590,465,154,919
138738600,572,735,330
250514568,542,666,694
433652660,986,610,721
5012280,18,884,315
91407116,193,668,709
55552770,855,442,147
3205440,742,720,6
9381060,65,228,633
42898450,511,146,575
105547155,485,723,301
316806576,412,922,834
29775204,114,431,606
72339480,269,498,540
30218240,832,160,227
81240960,655,544,228
593388,318,311,6
758912,196,4,968
374022240,843,590,752
170603172,783,804,271
220337424,937,368,639
1349460,204,105,63
127832418,798,349,459
3882680,565,8,859
245261016,924,498,533
70283200,325,248,872
18550128,68,762,358
66984510,193,690,503
15794280,45,584,601
251265196,364,893,773
3228953,259,959,13
362810880,870,576,724
104595000,285,500,734
99808500,660,575,263
230586952,727,967,328
75417840,95,894,888
159957352,601,824,323
315591234,766,853,483
153410088,676,654,347
447396378,814,663,829
80754876,372,269,807
312311862,459,927,734
88096800,132,940,710
14071032,276,174,293
44035578,778,171,331
45302400,440,264,390
40125708,966,46,903
12553380,567,90,246
58488636,102,701,818
428841264,472,929,978
2614375,47,445,125
22746556,763,257,116
182654496,366,888,562
154692040,470,769,428
262756480,659,623,640
8131500,195,139,300
6463800,228,810,35
180773952,356,596,852
52292220,348,733,205
48114000,675,810,88
33062400,280,160,738
129330250,562,875,263
337004330,835,722,559
412781460,741,865,644
75810748,718,403,262
220425783,647,817,417
124483968,718,688,252
58125231,193,327,921
224616478,766,799,367
2812320,405,8,868
398806800,985,723,560
93530598,866,139,777
68484780,565,481,252
160571268,999,572,281
175895370,301,774,755
292946213,497,863,683
306038544,777,824,478
67645340,178,623,610
67584690,510,163,813
140716440,467,930,324
228315000,310,982,750
37376073,219,189,903
120931200,520,969,240
55473405,395,831,169
102752290,719,922,155
67329185,913,343,215
35795200,425,128,658
7224,42,43,4
707761152,966,848,864
4801674,246,131,149
269353887,877,451,681
36294558,489,629,118
4196280,34,340,363
145579680,720,846,239
55593540,372,369,405
382369248,888,443,972
226857712,431,536,982
539835,145,73,51
365882560,928,886,445
368705145,695,543,977
6259968,36,836,208
459368560,730,952,661
278215728,834,644,518
88623420,318,961,290
14432880,924,220,71
68836096,896,359,214
84467691,693,261,467
106686948,383,501,556
14736384,533,48,576
51213624,777,749,88
108876080,304,415,863
68662228,647,617,172
349694345,715,641,763
44032896,372,822,144
40770810,615,174,381
562223592,952,951,621
52132164,413,628,201
376934620,895,998,422
13773760,308,520,86
243939528,802,306,994
79066680,129,770,796
130850397,893,201,729
11680044,46,606,419
72107181,453,547,291
131443480,980,674,199
233317935,849,465,591
44602950,397,525,214
7047810,339,30,693
12854424,73,264,667
32228840,658,155,316
242185170,373,690,941
18487980,54,511,670
1306040,317,824,5
20543922,139,483,306
78656580,633,327,380
95647326,579,547,302
2008475,499,7,575
18759296,68,296,932
308139816,491,993,632
34443292,829,611,68
96035082,274,627,559
54206400,575,982,96
369792000,428,1000,864
15837920,40,553,716
377794560,768,946,520
662205952,824,928,866
3594880,320,274,41
110526000,325,654,520
8797592,184,137,349
39052908,522,222,337
68944365,249,293,945
239102480,920,653,398
50299398,334,577,261
2521743,681,161,23
8215074,633,206,63
10715712,392,102,268
315727200,752,933,450
58130268,174,686,487
233188150,611,449,850
112511712,544,213,971
103359690,914,315,359
839208,6,958,146
4184244,53,516,153
263606496,368,831,862
16006069,239,193,347
69352320,881,480,164
32891180,239,140,983
11041748,23,934,514
532016496,859,816,759
19848180,58,561,610
97557453,691,567,249
363930880,395,976,944
3078350,193,145,110
360639312,797,857,528
52756704,366,312,462
17667148,578,899,34
31426200,325,102,948
532382656,832,647,989
591997824,992,822,726
134849000,598,820,275
30060624,197,289,528
130749568,166,794,992
364503776,923,574,688
168383105,979,839,205
3540944,22,248,649
159238506,471,574,589
491436960,944,777,670
325238418,878,711,521
3955200,256,618,25
5808060,41,787,180
28934892,441,698,94
103007972,796,151,857
34597305,471,415,177
1537276,17,481,188
14432704,494,176,166
27343169,173,337,469
132926508,513,604,429
15241352,56,659,413
208900224,754,481,576
125610646,482,631,413
38192880,851,68,660
48337520,784,649,95
146477760,484,582,520
224949200,805,280,998
185512756,956,253,767
349184,88,16,248
84518400,768,155,710
31659984,486,136,479
255004233,961,561,473
79255068,453,458,382
2230613,11,491,413
41493200,784,145,365
61034623,611,191,523
3168152,41,743,104
36009426,94,857,447
183120956,394,562,827
381289584,496,857,897
236834890,349,790,859
49301111,359,719,191
423857772,702,618,977
21407560,470,236,193
81005816,986,437,188
4386720,60,247,296
39658491,171,657,353
77358120,518,190,786
7192224,339,52,408
92999718,342,483,563
346902,537,323,2
272454264,669,426,956
3394440,898,945,4
62925012,181,666,522
1083758,571,73,26
319414700,682,493,950
262251066,946,921,301
29031336,276,282,373
122323200,554,920,240
5687496,201,72,393
118798407,819,681,213
15241780,185,958,86
45135442,289,458,341
104139000,285,870,420
60921112,406,322,466
69960000,1000,330,212
114003456,448,276,922
